8000-8044, Zürich
8044, Gockhausen
8045-8099, Zürich
8102, Oberengstringen
8103, Unterengstringen
8104, Weiningen
8105-8106, Regensdorf
8105, Watt
8106, Adlikon bei Regensdorf
8107, Buchs
8108, Dällikon
8112, Otelfingen
8113, Boppelsen
8114, Dänikon
8115, Hüttikon
8117, Fällanden
8118, Pfaffhausen
8121, Benglen
8122, Binz
8123, Ebmatingen
8124, Maur
8125, Zollikerberg
8126, Zumikon
8127, Forch
8130, Zumikon Yves Rocher SA
8132, Hinteregg
8132, Egg bei Zürich
8133, Esslingen
8134, Adliswil
8135, Langnau am Albis
8135, Sihlbrugg Station
8136, Gattikon
8142, Uitikon Waldegg
8143, Uetliberg
8143, Stallikon
8152, Glattbrugg
8152, Opfikon
8153, Rümlang
8154, Oberglatt
8155, Niederhasli
8156, Oberhasli
8157, Dielsdorf
8158, Regensberg
8162, Steinmaur
8164, Bachs
8165, Schöfflisdorf
8165, Oberweningen
8165, Schleinikon
8166, Niederweningen
8172, Niederglatt
8173, Neerach
8174, Stadel bei Niederglatt
8175, Windlach
8180, Bülach
8181, Höri
8182, Hochfelden
8184, Bachenbülach
8185, Winkel
8187, Weiach
8192, Glattfelden
8192, Zweidlen
8193, Eglisau
8194, Hüntwangen
8195, Wasterkingen
8196, Wil
8197, Rafz
8212, Nohl
8245, Feuerthalen
8246, Langwiesen
8247, Flurlingen
8248, Uhwiesen
8301, Glattzentrum
8302, Kloten
8303, Bassersdorf
8304, Wallisellen
8305, Dietlikon
8306, Brüttisellen
8307, Effretikon
8307, Ottikon bei Kemptthal
8308, Illnau
8308, Agasul
8309, Nürensdorf
8310, Kemptthal
8311, Brütten
8312, Winterberg
8314, Kyburg
8315, Lindau
8317, Tagelswangen
8320, Fehraltorf
8322, Madetswil
8330, Pfäffikon
8330, Hermatswil
8331, Auslikon
8332, Russikon
8335, Hittnau
8335, Oberhittnau
8335, Dürstelen
8340, Hinwil
8342, Wernetshausen
8344, Bäretswil
8345, Adetswil
8352, Räterschen
8353, Elgg
8354, Hofstetten
8400-8403, Winterthur
8404, Reutlingen
8404, Stadel (Winterthur)
8405-8411, Winterthur
8412, Aesch bei Neftenbach
8413, Neftenbach
8414, Buch am Irchel
8415, Berg am Irchel
8415, Gräslikon
8416, Flaach
8418, Schlatt bei Winterthur
8421, Dättlikon
8422, Pfungen
8423, Embrach-Embraport
8424, Embrach
8425, Oberembrach
8426, Lufingen
8427, Rorbas-Freienstein
8427, Freienstein
8427, Rorbas
8428, Teufen
8442, Hettlingen
8444, Henggart
8447, Dachsen
8450, Andelfingen
8451, Kleinandelfingen
8452, Adlikon bei Andelfingen
8453, Alten
8457, Humlikon
8458, Dorf
8459, Volken
8460, Marthalen
8461, Oerlingen
8462, Rheinau
8463, Benken
8464, Ellikon am Rhein
8465, Rudolfingen
8466, Trüllikon
8467, Truttikon
8468, Guntalingen
8468, Waltalingen
8471, Rutschwil-Dägerlen
8471, Dägerlen
8472, Seuzach
8474, Dinhard
8475, Ossingen
8476, Unterstammheim
8477, Oberstammheim
8478, Thalheim an der Thur
8479, Altikon
8482, Sennhof
8483, Kollbrunn
8484, Weisslingen
8484, Neschwil
8484, Theilingen
8486, Rikon im Tösstal
8487, Rämismühle
8487, Zell
8488, Neubrunn
8488, Turbenthal
8489, Wildberg
8492, Wila
8493, Saland
8494, Bauma
8495, Schmidrüti
8496, Steg im Tösstal
8497, Fischenthal
8498, Gibswil-Ried
8499, Sternenberg
8523, Hagenbuch
8542, Wiesendangen
8544, Rickenbach-Attikon
8544, Bertschikon
8545, Rickenbach
8548, Ellikon an der Thur
8600, Dübendorf
8602, Wangen bei Dübendorf
8603, Schwerzenbach
8604, Volketswil
8605, Gutenswil
8606, Nänikon
8606, Greifensee
8607, Aathal-Seegräben
8608, Bubikon
8609, Schwerzenbach
8610-8613, Uster
8614, Bertschikon (Gossau)
8614, Sulzbach
8615, Wermatswil
8615, Freudwil
8616, Riedikon
8617, Mönchaltorf
8618, Oetwil am See
8620-8623, Wetzikon
8620, Ettenhausen bei Wetzikon
8624, Grüt (Gossau)
8625, Gossau
8626, Ottikon (Gossau)
8627, Grüningen
8630, Rüti
8632, Tann
8633, Wolfhausen
8634, Hombrechtikon
8635, Dürnten
8636, Wald
8637, Laupen
8639, Faltigberg
8700, Küsnacht
8702, Zollikon
8703, Erlenbach
8704, Herrliberg
8706, Meilen
8706, Feldmeilen
8706, Obermeilen
8707, Uetikon am See
8708, Männedorf
8712, Stäfa
8713, Uerikon
8714, Feldbach
8800, Thalwil
8802, Kilchberg
8803, Rüschlikon
8804, Au
8805, Richterswil
8810-8813, Horgen
8815, Horgenberg
8816, Hirzel
8820, Wädenswil
8824, Schönenberg
8824, Tanne bei Wädenswil
8825, Hütten
8833, Samstagern
8902, Urdorf
8903, Birmensdorf
8904, Aesch bei Birmensdorf
8906, Bonstetten
8907, Wettswil
8908, Hedingen
8909, Zwillikon
8910, Affoltern am Albis
8911, Rifferswil
8912, Obfelden
8913, Ottenbach
8914, Aeugst am Albis
8914, Aeugstertal
8915, Hausen am Albis
8925, Ebertswil
8926, Kappel am Albis
8926, Hauptikon
8926, Uerzlikon
8932, Mettmenstetten
8933, Maschwanden
8934, Knonau
8942, Oberrieden
8951, Fahrweid
8952, Schlieren
8953, Dietikon
8954, Geroldswil
8955, Oetwil an der Limmat